species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Bos frontalis,10.019939,77.19007,1,20.6625,22.3,19.216667,1840.0,345.0,26.0,64.63637,815.0,101.0,256.0,340.0,8.591667,63.17402,119.83181,27.5,13.9,13.6,20.683332,20.25,1219.0
Bos frontalis,9.522434,77.126385,1,21.829166,23.466667,20.466667,2133.0,406.0,36.0,64.04295,962.0,144.0,312.0,380.0,8.075,62.5969,116.081055,28.3,15.4,12.9,21.766666,21.5,1015.0
Bos frontalis,9.522984,77.124249,1,22.033333,23.65,20.7,2137.0,409.0,36.0,64.44327,969.0,144.0,313.0,377.0,8.166667,63.3075,114.143715,28.5,15.6,12.9,21.95,21.716667,979.0
Bos frontalis,9.45262,77.171458,1,20.754166,22.216667,19.5,2097.0,374.0,38.0,59.77381,896.0,152.0,314.0,405.0,7.7916665,63.866123,106.33264,26.8,14.6,12.199999,20.75,20.35,1196.0
Bos frontalis,15.737497,74.024475,1,26.666666,28.783333,25.183332,3412.0,1262.0,0.0,146.80312,2797.0,1.0,98.0,14.0,9.133333,57.805912,149.18463,34.1,18.3,15.799999,26.283333,25.983334,70.0
Bos frontalis,9.524164,77.094302,1,22.354166,24.0,21.033333,2194.0,429.0,36.0,66.032394,1016.0,144.0,320.0,372.0,8.375,63.931297,114.2457,28.9,15.8,13.099999,22.2,22.116667,928.0
Bos frontalis,10.088035,77.323553,1,24.504168,26.383333,22.5,1025.0,197.0,18.0,62.080353,424.0,68.0,180.0,247.0,8.975,62.762234,151.67938,31.6,17.3,14.300001,23.15,23.9,517.0
Bos frontalis,10.298578,76.971731,1,20.804167,22.5,19.516666,2171.0,502.0,22.0,81.43,1158.0,80.0,259.0,294.0,9.108334,64.598114,116.237564,27.8,13.7,14.099999,20.583332,20.55,1126.0
Bos frontalis,20.376622,79.37549,1,26.8625,33.183334,21.183334,1305.0,405.0,5.0,136.54395,1019.0,17.0,189.0,17.0,12.075001,40.793922,465.27664,42.3,12.7,29.599998,27.083334,21.183334,244.0
Bos frontalis,10.328491,76.883359,1,21.3375,23.083334,20.133333,2387.0,589.0,20.0,87.94451,1351.0,78.0,269.0,284.0,8.608334,63.29657,116.602,28.2,14.6,13.6,20.933332,21.233334,1054.0
