species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Buceros bicornis,29.548957,78.957214,1,23.200000762939453,29.600000381469727,14.93333339691162,1696.0,486.0,8.0,118.0435562133789,1184.0,90.0,708.0,127.0,11.483333587646484,38.926551818847656,607.2628173828125,37.5,8.0,29.5,27.333332061767575,15.666666984558104,448.0
Buceros bicornis,18.202559,73.576586,1,23.81666755676269,26.75,21.51666641235352,2691.0,1184.0,0.0,161.58958435058594,2186.0,3.0,68.0,7.0,10.68333339691162,52.88779067993164,214.7020568847656,34.0,13.800000190734863,20.200000762939453,23.733333587646484,22.91666603088379,662.0
Buceros bicornis,14.264563,101.536223,1,24.75,26.399999618530277,22.333332061767575,1234.0,249.0,2.0,77.02885437011719,604.0,29.0,380.0,44.0,9.633333206176758,59.46502685546875,167.07374572753906,32.099998474121094,15.899999618530272,16.19999885559082,25.16666603088379,22.549999237060547,492.0
Buceros bicornis,14.344355,101.557511,1,22.587499618530277,24.36666679382324,19.96666717529297,1135.0,231.0,1.0,75.6965103149414,545.0,28.0,361.0,41.0,9.675000190734863,58.28313064575195,180.2665557861328,30.0,13.399999618530272,16.600000381469727,23.03333282470703,20.233333587646484,927.0
Buceros bicornis,14.281547,101.488699,1,24.879165649414062,26.549999237060547,22.433332443237305,1242.0,251.0,3.0,77.32916259765625,612.0,29.0,379.0,46.0,9.574999809265137,59.47205352783203,169.1080780029297,32.099998474121094,16.0,16.099998474121094,25.333332061767575,22.63333320617676,440.0
Buceros bicornis,12.823753,99.683943,1,27.549999237060547,29.08333396911621,25.86666679382324,809.0,193.0,5.0,83.27796173095703,428.0,19.0,159.0,94.0,8.666666984558105,62.80192947387695,125.950927734375,34.20000076293945,20.399999618530277,13.80000114440918,27.41666603088379,26.200000762939453,60.0
Buceros bicornis,12.829215,99.690451,1,27.4375,28.96666717529297,25.76666641235352,802.0,193.0,5.0,84.04437255859375,426.0,17.0,159.0,92.0,8.641667366027832,62.62078094482422,125.42880249023438,34.099998474121094,20.299999237060547,13.799999237060549,27.299999237060547,26.100000381469727,86.0
Buceros bicornis,12.90493,99.641733,1,27.170833587646484,28.61666679382324,25.61666679382324,789.0,191.0,4.0,85.99000549316406,426.0,14.0,151.0,87.0,7.941667079925537,62.04426956176758,118.2535629272461,33.400001525878906,20.600000381469727,12.80000114440918,27.049999237060547,25.86666679382324,65.0
Buceros bicornis,11.554635,103.126859,1,26.92916679382324,28.16666603088379,25.933332443237305,3650.0,779.0,10.0,98.13825988769533,2198.0,62.0,533.0,111.0,7.875,64.5491714477539,89.14895629882812,33.0,20.799999237060547,12.200000762939451,26.950000762939453,25.96666717529297,98.0
Buceros bicornis,14.55533,101.22664,1,24.995832443237305,26.88333320617676,22.28333282470703,1148.0,240.0,2.0,78.18431854248047,574.0,28.0,349.0,43.0,10.091666221618652,57.66666793823242,187.0155487060547,32.79999923706055,15.300000190734863,17.5,25.33333396911621,22.61666679382324,458.0
Buceros bicornis,14.402063,101.34581,1,23.375,25.183334350585938,20.733333587646484,1134.0,235.0,2.0,76.82091522216797,556.0,28.0,352.0,43.0,9.81666660308838,58.08678436279297,182.8126373291016,30.799999237060547,13.899999618530272,16.899999618530273,23.86666679382324,20.950000762939453,740.0
Buceros bicornis,14.213423,101.518709,1,25.587499618530277,27.21666717529297,23.299999237060547,1288.0,259.0,3.0,78.0843276977539,636.0,29.0,390.0,46.0,9.658332824707031,60.74422836303711,159.7458953857422,32.900001525878906,17.0,15.900001525878906,25.91666603088379,23.51666641235352,347.0
Buceros bicornis,12.877595,99.253282,1,24.850000381469727,26.299999237060547,23.46666717529297,1117.0,208.0,4.0,77.56160736083984,562.0,20.0,210.0,76.0,8.0,62.499996185302734,111.82373809814452,31.200000762939453,18.399999618530277,12.80000114440918,24.78333282470703,23.549999237060547,431.0
Buceros bicornis,12.917564,99.424567,1,25.4375,26.86666679382324,23.950000762939453,912.0,190.0,5.0,79.4594497680664,475.0,18.0,184.0,79.0,8.191666603088379,62.53181076049805,114.02001953125,31.799999237060547,18.700000762939453,13.099998474121094,25.33333396911621,24.16666603088379,390.0
Buceros bicornis,12.977272,99.759797,1,27.84166717529297,29.36666679382324,26.200000762939453,837.0,200.0,5.0,84.8936767578125,444.0,17.0,155.0,94.0,8.683334350585938,62.470027923583984,124.2583999633789,34.5,20.600000381469727,13.899999618530272,27.66666603088379,26.56666755676269,39.0
Buceros bicornis,11.496059,103.023903,1,27.450000762939453,28.733333587646484,26.433334350585938,3846.0,870.0,7.0,101.82256317138672,2380.0,58.0,541.0,106.0,7.349999904632568,62.82051849365234,92.2200927734375,33.29999923706055,21.600000381469727,11.69999885559082,27.483333587646484,26.46666717529297,3.0
Buceros bicornis,11.448756,103.133372,1,27.433332443237305,28.683332443237305,26.450000762939453,3610.0,810.0,6.0,100.10186767578124,2197.0,52.0,530.0,106.0,7.75,64.0495834350586,89.55274963378906,33.5,21.399999618530277,12.100000381469728,27.450000762939453,26.46666717529297,8.0
Buceros bicornis,18.165293,73.181384,1,26.120832443237305,28.433332443237305,24.13333320617676,4218.0,1642.0,0.0,157.05221557617188,3572.0,1.0,818.0,6.0,8.591667175292969,54.72399139404297,169.3363800048828,33.5,17.799999237060547,15.700000762939451,26.25,24.933332443237305,217.0
Buceros bicornis,11.537924,103.050163,1,27.504165649414062,28.733333587646484,26.51666641235352,3847.0,850.0,10.0,100.57180786132812,2366.0,65.0,543.0,112.0,7.7916669845581055,64.39393615722656,88.8936538696289,33.5,21.399999618530277,12.100000381469728,27.549999237060547,26.566665649414062,4.0
Buceros bicornis,26.75168,93.375077,1,24.0625,28.28333282470703,18.01666641235352,2364.0,440.0,11.0,85.31590270996094,1231.0,61.0,1231.0,61.0,9.841667175292969,45.353302001953125,423.5624084472656,31.899999618530277,10.199999809265137,21.700000762939453,28.28333282470703,18.01666641235352,70.0
Buceros bicornis,26.65735,93.313553,1,24.075000762939453,28.63333320617676,17.666667938232422,2227.0,418.0,11.0,85.12523651123047,1161.0,56.0,1161.0,56.0,9.966667175292969,44.10029220581055,450.83001708984375,32.400001525878906,9.800000190734863,22.60000228881836,28.63333320617676,17.666667938232422,82.0
Buceros bicornis,12.728718,99.562406,1,25.97916603088379,27.41666603088379,24.433334350585938,863.0,192.0,6.0,78.91584777832031,449.0,21.0,184.0,89.0,8.175000190734863,63.37209701538086,117.15292358398438,32.29999923706055,19.399999618530277,12.899999618530272,25.88333320617676,24.66666603088379,321.0
Buceros bicornis,26.963412,90.479306,1,21.70416641235352,25.61666679382324,16.450000762939453,3477.0,956.0,11.0,109.44221496582033,2278.0,45.0,2278.0,66.0,8.408332824707031,44.72517395019531,380.6063232421875,29.5,10.699999809265137,18.799999237060547,25.61666679382324,17.233333587646484,723.0
Buceros bicornis,15.165658,98.692113,1,21.20416641235352,22.96666717529297,19.450000762939453,1860.0,318.0,4.0,83.35440063476562,921.0,26.0,387.0,52.0,10.841667175292969,59.56959915161133,138.2760467529297,30.0,11.800000190734863,18.200000762939453,21.26666641235352,19.549999237060547,1352.0
Buceros bicornis,12.808411,99.501226,1,25.3125,26.71666717529297,23.799999237060547,922.0,195.0,6.0,77.77932739257812,476.0,21.0,194.0,85.0,7.9583330154418945,63.16137313842773,114.23908233642578,31.5,18.899999618530277,12.600000381469728,25.233333587646484,24.03333282470703,429.0
Buceros bicornis,12.808436,99.501206,1,25.3125,26.71666717529297,23.799999237060547,922.0,195.0,6.0,77.77932739257812,476.0,21.0,194.0,85.0,7.9583330154418945,63.16137313842773,114.23908233642578,31.5,18.899999618530277,12.600000381469728,25.233333587646484,24.03333282470703,429.0
Buceros bicornis,12.820639,99.370902,1,23.11666679382324,24.5,21.75,1346.0,236.0,9.0,72.34364318847656,642.0,34.0,278.0,93.0,8.166666030883789,63.3074951171875,106.96926879882812,29.399999618530277,16.5,12.899999618530272,23.0,21.933332443237305,886.0
Buceros bicornis,12.825067,99.365262,1,23.170833587646484,24.56666755676269,21.799999237060547,1341.0,236.0,8.0,72.8344955444336,641.0,32.0,276.0,90.0,8.258333206176758,63.52564239501953,107.7551727294922,29.5,16.5,13.0,23.049999237060547,21.983333587646484,877.0
Buceros bicornis,12.825067,99.365262,1,23.170833587646484,24.56666755676269,21.799999237060547,1341.0,236.0,8.0,72.8344955444336,641.0,32.0,276.0,90.0,8.258333206176758,63.52564239501953,107.7551727294922,29.5,16.5,13.0,23.049999237060547,21.983333587646484,877.0
Buceros bicornis,8.996785,98.469606,1,26.337499618530277,27.28333282470703,25.61666679382324,3057.0,498.0,27.0,69.8064193725586,1384.0,112.0,603.0,298.0,8.841666221618652,71.88346099853516,67.25543212890625,32.70000076293945,20.399999618530277,12.30000114440918,26.200000762939453,25.816665649414062,157.0
Buceros bicornis,8.995806,98.465018,1,26.55000114440918,27.483333587646484,25.850000381469727,3091.0,505.0,28.0,70.103515625,1403.0,113.0,608.0,300.0,8.883333206176758,72.22222137451172,66.22965240478516,32.900001525878906,20.600000381469727,12.30000114440918,26.399999618530277,26.05000114440918,119.0
