species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Euphlyctis cyanophlyctis,6.859043,81.047984,1,21.50833320617676,22.450000762939453,20.233333587646484,1851.0,305.0,27.0,58.40280532836914,816.0,144.0,193.0,545.0,7.816667079925537,71.06060028076172,91.47364044189452,26.700000762939453,15.699999809265137,11.000000953674316,20.899999618530277,22.28333282470703,1075.0
Euphlyctis cyanophlyctis,7.534267,80.75432,1,23.237499237060547,24.350000381469727,21.75,2275.0,435.0,52.0,65.2069091796875,1097.0,201.0,376.0,919.0,8.108333587646484,66.46174621582031,105.18653869628906,29.100000381469727,16.899999618530273,12.200000762939451,21.88333320617676,23.899999618530277,725.0
Euphlyctis cyanophlyctis,5.973613,80.400973,1,26.77083396911621,27.51666641235352,26.183334350585938,2405.0,303.0,91.0,35.784671783447266,822.0,322.0,616.0,390.0,5.208333492279053,65.92827606201172,54.41664123535156,30.600000381469727,22.700000762939453,7.899999618530273,26.56666755676269,26.51666641235352,10.0
Euphlyctis cyanophlyctis,6.400319,80.461396,1,23.53333282470703,24.28333282470703,22.91666603088379,3955.0,498.0,157.0,34.05325698852539,1334.0,596.0,1199.0,596.0,6.183333396911621,66.4874496459961,55.4868278503418,28.200000762939453,18.899999618530277,9.30000114440918,24.26666641235352,22.91666603088379,602.0
Euphlyctis cyanophlyctis,6.871502,81.042826,1,21.82083320617676,22.75,20.549999237060547,1889.0,313.0,26.0,59.150978088378906,832.0,143.0,398.0,557.0,7.875,70.9459457397461,91.04090881347656,27.100000381469727,16.0,11.100000381469728,21.200000762939453,22.566665649414062,1005.0
Euphlyctis cyanophlyctis,12.759125,78.207793,1,25.19583320617676,28.03333282470703,22.100000381469727,675.0,158.0,3.0,83.6908950805664,351.0,16.0,152.0,88.0,10.458333969116213,56.22760009765625,233.6708984375,34.70000076293945,16.100000381469727,18.600000381469727,25.11666679382324,24.299999237060547,669.0
Euphlyctis cyanophlyctis,7.371804,80.715958,1,22.662500381469727,23.649999618530277,21.483333587646484,2333.0,395.0,73.0,56.32737731933594,1041.0,248.0,433.0,857.0,8.274999618530273,67.27642059326172,86.5270767211914,28.700000762939453,16.399999618530273,12.30000114440918,21.566665649414062,23.049999237060547,831.0
Euphlyctis cyanophlyctis,28.338742,77.619216,1,24.77083396911621,32.38333511352539,15.233333587646484,765.0,253.0,4.0,138.93704223632812,622.0,24.0,254.0,37.0,13.458333969116213,39.58333206176758,699.7807006835938,40.900001525878906,6.900000095367432,34.0,29.566665649414062,27.850000381469727,200.0
Euphlyctis cyanophlyctis,8.257032,80.141176,1,27.575000762939453,28.850000381469727,25.71666717529297,1165.0,239.0,18.0,80.27340698242188,622.0,65.0,268.0,260.0,8.116666793823242,65.45698547363281,133.83334350585938,33.400001525878906,21.0,12.400001525878906,26.450000762939453,28.483333587646484,54.0
Euphlyctis cyanophlyctis,7.945737,80.735486,1,26.850000381469727,28.100000381469727,25.0,1629.0,322.0,11.0,72.2662582397461,841.0,104.0,256.0,575.0,8.666666984558105,70.46070098876953,134.1302032470703,32.70000076293945,20.399999618530277,12.30000114440918,25.75,27.933332443237305,200.0
