species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Felis chaus,22.400631,80.434866,1,24.625,31.21666717529297,18.25,1454.0,486.0,4.0,144.7373809814453,1170.0,36.0,168.0,36.0,12.916666984558104,41.00529098510742,511.4973754882813,40.900001525878906,9.399999618530272,31.500001907348636,25.96666717529297,18.25,493.0
Felis chaus,22.043808,72.019315,1,27.549999237060547,32.26666641235352,21.86666679382324,556.0,189.0,1.0,142.09527587890625,445.0,3.0,84.0,3.0,14.149999618530272,47.966102600097656,406.4871826171875,40.5,11.0,29.5,28.83333396911621,21.86666679382324,8.0
Felis chaus,24.168983,67.586901,1,26.358333587646484,30.683334350585938,20.0,207.0,111.0,1.0,172.32974243164062,167.0,6.0,129.0,17.0,11.333333015441896,46.83195877075195,433.772216796875,35.79999923706055,11.600000381469728,24.19999885559082,30.08333396911621,24.36666679382324,2.0
Felis chaus,22.820948,72.057186,1,27.14166641235352,32.25,20.983333587646484,627.0,222.0,1.0,148.1505584716797,515.0,4.0,86.0,5.0,13.066665649414062,44.74885940551758,442.718017578125,40.59999847412109,11.399999618530272,29.19999885559082,28.75,26.71666717529297,10.0
Felis chaus,27.227292,57.042606,1,26.77083396911621,33.400001525878906,19.11666679382324,220.0,46.0,2.0,92.77196502685548,135.0,17.0,20.0,122.0,8.658333778381348,36.22733688354492,585.8616943359375,37.5,13.600000381469728,23.899999618530277,19.899999618530277,30.100000381469727,41.0
Felis chaus,23.242,69.666932,1,26.587499618530277,30.91666603088379,20.399999618530277,368.0,164.0,0.0,163.1544952392578,320.0,2.0,28.0,4.0,13.225000381469728,47.74367904663086,423.7608947753906,38.400001525878906,10.699999809265137,27.700000762939453,28.600000381469727,25.88333320617676,104.0
Felis chaus,27.811535,74.43454,1,25.745832443237305,33.13333511352539,16.299999237060547,368.0,130.0,3.0,142.14247131347656,292.0,11.0,174.0,15.0,15.291666030883787,43.69047546386719,686.9512939453125,41.0,6.0,35.0,30.66666603088379,17.25,304.0
Felis chaus,27.811535,74.43454,1,25.745832443237305,33.13333511352539,16.299999237060547,368.0,130.0,3.0,142.14247131347656,292.0,11.0,174.0,15.0,15.291666030883787,43.69047546386719,686.9512939453125,41.0,6.0,35.0,30.66666603088379,17.25,304.0
Felis chaus,33.078958,35.608609,1,19.774999618530277,26.683334350585938,12.350000381469728,511.0,135.0,0.0,109.6611557006836,334.0,0.0,1.0,334.0,10.533333778381348,41.46981430053711,591.421630859375,32.400001525878906,7.0,25.400001525878903,12.350000381469728,26.450000762939453,62.0
Felis chaus,31.733472,34.629387,1,19.70833396911621,25.700000762939453,13.383333206176758,464.0,115.0,0.0,114.302001953125,306.0,0.0,1.0,301.0,10.300000190734863,44.78260803222656,505.0690002441406,31.0,8.0,23.0,15.083333969116213,25.233333587646484,38.0
Felis chaus,33.081161,35.604935,1,19.77916717529297,26.66666603088379,12.366666793823242,513.0,136.0,0.0,109.89649200439452,336.0,0.0,1.0,336.0,10.52500057220459,41.437007904052734,589.4159545898438,32.400001525878906,7.0,25.400001525878903,12.366666793823242,26.433334350585938,63.0
Felis chaus,33.110604,35.603654,1,19.82916641235352,26.76666641235352,12.350000381469728,522.0,138.0,0.0,109.02719116210938,340.0,0.0,1.0,340.0,10.774999618530272,41.92606735229492,594.5336303710938,32.70000076293945,7.0,25.700000762939453,12.350000381469728,26.5,63.0
Felis chaus,33.079486,35.592975,1,19.78333282470703,26.649999618530277,12.383333206176758,518.0,138.0,0.0,110.24529266357422,340.0,0.0,1.0,340.0,10.516666412353516,41.56785202026367,588.6785278320312,32.29999923706055,7.0,25.299999237060547,12.383333206176758,26.433332443237305,65.0
Felis chaus,33.080146,35.606547,1,19.77916717529297,26.66666603088379,12.366666793823242,513.0,136.0,0.0,109.89649200439452,336.0,0.0,1.0,336.0,10.52500057220459,41.437007904052734,589.4159545898438,32.400001525878906,7.0,25.400001525878903,12.366666793823242,26.433334350585938,63.0
