species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Grus antigone,22.28584,73.363195,1,27.31666755676269,32.349998474121094,21.899999618530277,938.0,356.0,0.0,154.87782287597656,795.0,3.0,111.0,4.0,13.899999618530272,47.76632308959961,405.8903198242188,41.0,11.899999618530272,29.100000381469727,28.38333320617676,27.233333587646484,43.0
Grus antigone,27.089022,77.492937,1,25.483333587646484,33.21666717529297,15.600000381469728,695.0,262.0,2.0,151.9958038330078,591.0,18.0,248.0,23.0,14.199999809265137,39.88764190673828,715.0567016601562,42.29999923706055,6.699999809265137,35.599998474121094,29.71666717529297,23.63333320617676,177.0
Grus antigone,27.018678,77.494294,1,25.49166679382324,33.21666717529297,15.68333339691162,712.0,270.0,2.0,153.01809692382812,608.0,18.0,255.0,23.0,14.266666412353516,40.07490921020508,711.4224853515625,42.29999923706055,6.699999809265137,35.599998474121094,29.66666603088379,23.683332443237305,182.0
Grus antigone,22.805361,72.179487,1,27.3125,32.66666793823242,21.0,670.0,237.0,1.0,148.9648895263672,550.0,5.0,94.0,5.0,13.958333015441896,45.46688079833984,456.3796691894531,41.70000076293945,11.0,30.700000762939453,28.91666603088379,23.01666641235352,16.0
Grus antigone,27.157604,77.731143,1,25.325000762939453,33.0,15.633333206176758,708.0,252.0,2.0,143.85914611816406,582.0,23.0,252.0,27.0,13.783332824707031,39.49379348754883,704.0838623046875,41.79999923706055,6.900000095367432,34.89999771118164,29.56666755676269,23.36666679382324,173.0
Grus antigone,27.172663,77.485248,1,25.40833282470703,33.06666564941406,15.75,673.0,251.0,2.0,150.57627868652344,569.0,18.0,241.0,23.0,13.966666221618652,39.904762268066406,701.8670654296875,41.79999923706055,6.800000190734863,35.0,29.66666603088379,23.549999237060547,177.0
Grus antigone,27.114425,77.509424,1,25.44166755676269,33.18333435058594,15.600000381469728,691.0,259.0,2.0,151.24224853515625,586.0,18.0,247.0,23.0,14.100000381469728,39.71830749511719,713.1582641601562,42.20000076293945,6.699999809265137,35.5,29.683334350585938,23.58333396911621,177.0
Grus antigone,23.062887,72.102025,1,27.39166641235352,32.83333206176758,20.983333587646484,656.0,237.0,1.0,150.03903198242188,546.0,4.0,85.0,6.0,14.383333206176758,46.248661041259766,465.2557373046875,42.0,10.899999618530272,31.100000381469727,29.03333282470703,27.0,28.0
Grus antigone,22.90018,72.090001,1,27.424999237060547,32.733333587646484,21.21666717529297,645.0,229.0,1.0,148.92718505859375,532.0,4.0,88.0,5.0,14.116666793823242,45.98262786865234,450.4467468261719,41.70000076293945,11.0,30.700000762939453,28.950000762939453,27.100000381469727,17.0
Grus antigone,27.174727,77.534096,1,25.32083320617676,33.01666641235352,15.633333206176758,676.0,250.0,2.0,149.185302734375,568.0,19.0,242.0,23.0,13.891666412353516,39.69047546386719,704.0579223632812,41.70000076293945,6.699999809265137,35.0,29.58333396911621,23.433332443237305,177.0
