species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Lepus nigricollis,10.364762,76.98041,1,20.420833587646484,22.21666717529297,19.0,2062.0,464.0,21.0,79.327880859375,1075.0,75.0,250.0,289.0,8.875,62.5,125.18092346191406,27.5,13.300000190734863,14.199999809265137,20.25,20.100000381469727,1176.0
Lepus nigricollis,28.509167,76.851211,1,24.912500381469727,32.71666717529297,14.883333206176758,600.0,189.0,4.0,133.9557647705078,473.0,25.0,227.0,35.0,14.30833339691162,40.76448440551758,729.6235961914062,41.29999923706055,6.199999809265137,35.099998474121094,30.08333396911621,16.149999618530273,213.0
Lepus nigricollis,6.4019,81.445066,1,27.308334350585938,28.28333282470703,26.0,1030.0,212.0,11.0,75.26778411865234,523.0,43.0,90.0,399.0,6.633333206176758,72.89376831054688,95.22301483154295,31.600000381469727,22.5,9.100000381469728,26.149999618530277,28.21666717529297,23.0
Lepus nigricollis,12.389394,76.583067,1,24.37916755676269,27.11666679382324,22.63333320617676,694.0,158.0,2.0,86.59259033203125,307.0,16.0,207.0,63.0,10.274999618530272,59.39305877685547,179.90475463867188,33.900001525878906,16.600000381469727,17.30000114440918,23.683334350585938,24.816665649414062,750.0
Lepus nigricollis,6.261813,81.402847,1,27.450000762939453,28.299999237060547,26.399999618530277,928.0,199.0,13.0,73.29509735107422,465.0,49.0,165.0,338.0,6.5333333015441895,75.09577941894531,79.02819061279297,31.600000381469727,22.899999618530277,8.700000762939453,26.433332443237305,28.11666679382324,16.0
Lepus nigricollis,6.491379,81.426171,1,27.162500381469727,28.16666603088379,25.91666603088379,1114.0,224.0,9.0,75.18467712402344,558.0,44.0,90.0,430.0,6.6583333015441895,73.98148345947266,93.76288604736328,31.399999618530277,22.399999618530277,9.0,26.03333282470703,28.066665649414062,44.0
Lepus nigricollis,6.254139,81.323051,1,27.27083396911621,28.100000381469727,26.316665649414062,947.0,205.0,17.0,70.7632064819336,460.0,59.0,180.0,313.0,6.2916669845581055,72.31800079345703,69.94994354248047,31.600000381469727,22.899999618530277,8.700000762939453,26.816665649414062,27.666667938232425,30.0
Lepus nigricollis,6.199086,81.210494,1,27.45416641235352,28.233333587646484,26.58333396911621,935.0,203.0,24.0,66.37887573242188,450.0,80.0,191.0,274.0,6.325000286102295,73.5465087890625,65.3472671508789,31.700000762939453,23.100000381469727,8.600000381469727,26.96666717529297,27.850000381469727,4.0
Lepus nigricollis,6.400875,81.448044,1,27.308334350585938,28.28333282470703,26.0,1030.0,212.0,11.0,75.26778411865234,523.0,43.0,90.0,399.0,6.633333206176758,72.89376831054688,95.22301483154295,31.600000381469727,22.5,9.100000381469728,26.149999618530277,28.21666717529297,23.0
Lepus nigricollis,7.435783,79.81256,1,27.450000762939453,28.46666717529297,26.299999237060547,1655.0,292.0,46.0,64.34596252441406,681.0,202.0,546.0,435.0,6.916666507720947,62.878787994384766,85.28028869628906,32.79999923706055,21.799999237060547,11.0,26.61666679382324,27.149999618530277,8.0
Lepus nigricollis,6.188545,81.222367,1,27.42916679382324,28.200000762939453,26.56666755676269,934.0,202.0,24.0,66.1122055053711,448.0,80.0,191.0,275.0,6.258333206176758,73.62744903564453,65.2079849243164,31.600000381469727,23.100000381469727,8.5,26.91666603088379,27.850000381469727,7.0
Lepus nigricollis,6.776913,80.931044,1,19.54166603088379,20.41666603088379,18.350000381469727,1967.0,274.0,101.0,36.80171203613281,737.0,340.0,483.0,428.0,7.883333206176758,69.15204620361328,85.03563690185547,24.899999618530277,13.5,11.399999618530272,19.049999237060547,20.183332443237305,1389.0
Lepus nigricollis,6.818284,80.859332,1,17.04166603088379,18.01666641235352,15.899999618530272,2055.0,246.0,89.0,27.387496948242188,685.0,330.0,531.0,411.0,7.699999809265137,63.63636016845703,83.28028869628906,23.0,10.899999618530272,12.100000381469728,16.649999618530273,16.16666603088379,1730.0
Lepus nigricollis,11.573593,76.645371,1,22.39166641235352,24.86666679382324,20.71666717529297,1437.0,326.0,5.0,86.31646728515625,741.0,20.0,206.0,118.0,10.100000381469728,59.06432723999024,163.9267120361328,31.5,14.399999618530272,17.100000381469727,21.75,22.700000762939453,937.0
Lepus nigricollis,11.552858,76.622098,1,21.787500381469727,24.233333587646484,20.100000381469727,1586.0,381.0,5.0,90.76837158203124,864.0,20.0,207.0,120.0,9.524999618530272,57.727272033691406,162.41256713867188,30.5,14.0,16.5,21.183334350585938,21.950000762939453,958.0
Lepus nigricollis,26.688187,77.851218,1,25.84166717529297,33.33333206176758,16.616666793823242,832.0,324.0,3.0,151.16058349609375,697.0,22.0,288.0,28.0,14.033333778381348,39.98100662231445,678.11181640625,42.400001525878906,7.300000190734863,35.10000228881836,29.549999237060547,24.433332443237305,201.0
Lepus nigricollis,22.576509,78.183478,1,25.78333282470703,32.31666564941406,19.96666717529297,1315.0,442.0,3.0,149.0467071533203,1123.0,18.0,112.0,28.0,11.483333587646484,39.73471832275391,482.29248046875,41.0,12.100000381469728,28.899999618530277,26.28333282470703,26.600000381469727,380.0
Lepus nigricollis,8.458144,80.051831,1,27.27916717529297,28.700000762939453,25.28333282470703,1125.0,250.0,12.0,84.3116455078125,636.0,56.0,228.0,293.0,7.575000286102295,62.60329818725586,144.10317993164062,32.900001525878906,20.799999237060547,12.10000228881836,26.11666679382324,28.350000381469727,79.0
Lepus nigricollis,27.777339,74.420983,1,25.76666641235352,33.150001525878906,16.366666793823242,366.0,128.0,3.0,141.62689208984375,290.0,11.0,172.0,15.0,15.299999237060549,43.83953857421875,684.3388671875,41.0,6.099999904632568,34.900001525878906,30.63333320617676,17.316665649414062,302.0
Lepus nigricollis,8.416651,79.994905,1,27.262500762939453,28.649999618530277,25.38333320617676,1100.0,247.0,13.0,85.02030181884766,622.0,53.0,229.0,279.0,7.34166669845581,62.2175178527832,136.5670928955078,32.79999923706055,21.0,11.799999237060549,26.13333320617676,28.21666717529297,73.0
Lepus nigricollis,23.244493,69.20286,1,26.45416641235352,30.349998474121094,20.816665649414062,507.0,218.0,0.0,164.04820251464844,452.0,2.0,33.0,4.0,12.658332824707031,49.64052200317383,384.2907104492188,37.0,11.5,25.5,28.299999237060547,28.61666679382324,137.0
Lepus nigricollis,6.291212,81.428362,1,27.41666603088379,28.299999237060547,26.316665649414062,935.0,200.0,12.0,74.80722045898438,477.0,45.0,162.0,352.0,6.449999809265137,74.13792419433594,82.80133819580078,31.600000381469727,22.899999618530277,8.700000762939453,26.38333320617676,28.13333320617676,10.0
Lepus nigricollis,11.322399,76.598108,1,14.774999618530272,16.46666717529297,13.43333339691162,1636.0,331.0,9.0,75.71563720703125,785.0,44.0,241.0,77.0,9.5,60.509552001953125,121.81393432617188,22.100000381469727,6.400000095367432,15.700000762939451,14.616666793823242,14.25,2019.0
Lepus nigricollis,17.352762,78.676453,1,26.97916603088379,31.649999618530277,22.683334350585938,739.0,167.0,2.0,104.06012725830078,471.0,13.0,150.0,26.0,12.074999809265137,47.53937149047852,351.34454345703125,40.0,14.600000381469728,25.399999618530277,26.76666641235352,23.38333320617676,466.0
Lepus nigricollis,6.49138,81.426171,1,27.162500381469727,28.16666603088379,25.91666603088379,1114.0,224.0,9.0,75.18467712402344,558.0,44.0,90.0,430.0,6.6583333015441895,73.98148345947266,93.76288604736328,31.399999618530277,22.399999618530277,9.0,26.03333282470703,28.066665649414062,44.0
Lepus nigricollis,7.972145,80.760577,1,26.725000381469727,27.983333587646484,24.83333396911621,1644.0,332.0,11.0,72.6867446899414,851.0,108.0,250.0,591.0,8.549999237060547,70.08196258544922,135.82241821289062,32.5,20.299999237060547,12.200000762939451,25.649999618530277,27.850000381469727,208.0
Lepus nigricollis,7.971065,80.764865,1,26.725000381469727,27.983333587646484,24.83333396911621,1644.0,332.0,11.0,72.6867446899414,851.0,108.0,250.0,591.0,8.549999237060547,70.08196258544922,135.82241821289062,32.5,20.299999237060547,12.200000762939451,25.649999618530277,27.850000381469727,208.0
Lepus nigricollis,6.611285,80.914895,1,26.799999237060547,27.51666641235352,25.78333282470703,1761.0,313.0,44.0,60.15291595458984,782.0,150.0,411.0,413.0,7.199999809265137,74.226806640625,74.06998443603516,31.299999237060547,21.600000381469727,9.69999885559082,26.21666717529297,27.350000381469727,141.0
Lepus nigricollis,6.491379,81.426171,1,27.162500381469727,28.16666603088379,25.91666603088379,1114.0,224.0,9.0,75.18467712402344,558.0,44.0,90.0,430.0,6.6583333015441895,73.98148345947266,93.76288604736328,31.399999618530277,22.399999618530277,9.0,26.03333282470703,28.066665649414062,44.0
