species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Macaca mulatta,22.34892,114.152733,1,22.15416717529297,27.61666679382324,15.550000190734863,2127.0,391.0,25.0,78.58403015136719,1067.0,91.0,1067.0,104.0,5.758333206176758,30.14834213256836,502.0207214355469,30.799999237060547,11.699999809265137,19.099998474121094,27.61666679382324,17.200000762939453,158.0
Macaca mulatta,22.354256,114.152538,1,22.075000762939453,27.53333282470703,15.466666221618652,2121.0,390.0,25.0,78.52783203125,1064.0,91.0,1064.0,104.0,5.733333110809326,30.0174503326416,501.9530334472656,30.700000762939453,11.600000381469728,19.100000381469727,27.53333282470703,17.100000381469727,159.0
Macaca mulatta,22.424666,114.181707,1,21.41666603088379,26.950000762939453,14.700000762939451,2073.0,374.0,26.0,77.65156555175781,1040.0,91.0,1040.0,106.0,5.800000190734863,29.89690589904785,508.4438171386719,30.100000381469727,10.699999809265137,19.400001525878903,26.950000762939453,16.316667556762695,269.0
Macaca mulatta,22.353512,114.152572,1,22.075000762939453,27.53333282470703,15.466666221618652,2121.0,390.0,25.0,78.52783203125,1064.0,91.0,1064.0,104.0,5.733333110809326,30.0174503326416,501.9530334472656,30.700000762939453,11.600000381469728,19.100000381469727,27.53333282470703,17.100000381469727,159.0
Macaca mulatta,22.392667,89.465242,1,26.125,29.25,20.51666641235352,1934.0,423.0,10.0,93.81103515625,1133.0,55.0,595.0,55.0,8.399999618530273,41.17647171020508,370.1136169433594,33.5,13.100000381469728,20.399999618530277,28.75,20.51666641235352,10.0
Macaca mulatta,22.387635,114.184626,1,22.308332443237305,27.850000381469727,15.616666793823242,2201.0,406.0,25.0,79.53655242919922,1119.0,92.0,1119.0,105.0,5.733333110809326,29.706388473510746,508.0660095214844,31.0,11.699999809265137,19.299999237060547,27.850000381469727,17.25,83.0
Macaca mulatta,27.17117,78.040558,1,25.72916603088379,33.18333435058594,16.366666793823242,809.0,257.0,4.0,131.11575317382812,624.0,29.0,305.0,37.0,13.175000190734863,38.97929000854492,682.576904296875,41.400001525878906,7.599999904632568,33.80000305175781,29.88333320617676,17.28333282470703,168.0
Macaca mulatta,29.551536,78.883211,1,22.745832443237305,29.149999618530277,14.5,1728.0,497.0,8.0,117.98217010498048,1208.0,93.0,724.0,131.0,11.44166660308838,38.91723251342773,606.2532348632812,36.900001525878906,7.5,29.400001525878903,26.950000762939453,15.233333587646484,540.0
Macaca mulatta,22.348047,114.153533,1,22.15416717529297,27.61666679382324,15.550000190734863,2127.0,391.0,25.0,78.58403015136719,1067.0,91.0,1067.0,104.0,5.758333206176758,30.14834213256836,502.0207214355469,30.799999237060547,11.699999809265137,19.099998474121094,27.61666679382324,17.200000762939453,158.0
Macaca mulatta,22.349862,114.160089,1,21.99166679382324,27.433332443237305,15.383333206176758,2104.0,384.0,25.0,78.03689575195312,1050.0,91.0,1050.0,105.0,5.766666889190674,30.191972732543945,500.94378662109375,30.600000381469727,11.5,19.100000381469727,27.433332443237305,17.03333282470703,194.0
Macaca mulatta,22.345618,114.184099,1,22.350000381469727,27.83333396911621,15.699999809265137,2196.0,407.0,24.0,79.22794342041016,1108.0,92.0,1108.0,106.0,5.683333396911621,29.755672454833984,504.2140808105469,31.0,11.899999618530272,19.100000381469727,27.83333396911621,17.350000381469727,114.0
Macaca mulatta,25.195683,75.854303,1,26.60416603088379,33.633331298828125,18.5,732.0,258.0,3.0,157.03025817871094,626.0,10.0,71.0,13.0,12.125,38.249210357666016,599.8729248046875,42.09999847412109,10.399999618530272,31.69999885559082,29.06666755676269,25.683332443237305,260.0
