species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Milvus migrans,-26.244356,152.933786,1,20.59583282470703,24.733333587646484,15.666666984558104,1409.0,187.0,42.0,40.9793586730957,525.0,181.0,525.0,216.0,10.274999618530272,50.61576461791992,367.8899230957031,29.399999618530277,9.100000381469728,20.299999237060547,24.733333587646484,16.450000762939453,20.0
Milvus migrans,28.524326,77.184861,1,24.933332443237305,32.349998474121094,15.483333587646484,716.0,222.0,5.0,132.14755249023438,557.0,31.0,273.0,40.0,12.916666984558104,39.38008117675781,690.9129028320312,40.0,7.199999809265137,32.79999923706055,29.849998474121094,16.516666412353516,247.0
Milvus migrans,24.551442,117.9844,1,21.47083282470703,28.33333396911621,14.166666984558104,1091.0,170.0,25.0,58.79547500610352,458.0,84.0,357.0,120.0,7.891666889190674,33.43926239013672,589.759033203125,32.900001525878906,9.300000190734863,23.60000228881836,23.53333282470703,19.733333587646484,0.0
Milvus migrans,-33.862152,18.627693,1,17.15833282470703,21.316665649414062,12.783332824707031,625.0,105.0,16.0,66.30956268310547,298.0,54.0,57.0,298.0,10.59999942779541,52.47525024414063,351.31463623046875,27.799999237060547,7.599999904632568,20.19999885559082,12.783332824707031,21.299999237060547,133.0
Milvus migrans,35.653336,139.448387,1,14.96250057220459,24.63333320617676,5.2833333015441895,1507.0,204.0,46.0,46.94190216064453,572.0,151.0,548.0,151.0,8.708333015441895,28.091398239135746,790.8917236328125,30.299999237060547,-0.699999988079071,31.0,22.049999237060547,5.2833333015441895,54.0
Milvus migrans,-34.055661,18.519051,1,17.241666793823242,20.86666679382324,13.449999809265137,577.0,98.0,15.0,67.20429229736328,276.0,50.0,52.0,276.0,9.233333587646484,52.761905670166016,305.7095642089844,26.200000762939453,8.699999809265137,17.5,13.449999809265137,20.86666679382324,14.0
Milvus migrans,-23.672535,133.888757,1,21.237499237060547,28.26666641235352,13.166666984558104,324.0,48.0,8.0,51.79970550537109,137.0,31.0,134.0,36.0,14.541666030883787,46.31104278564453,619.3916625976562,36.09999847412109,4.699999809265137,31.39999771118164,27.53333282470703,15.266666412353516,592.0
Milvus migrans,33.632283,130.224006,1,16.120832443237305,25.51666641235352,7.083333015441895,1640.0,271.0,61.0,51.80476760864258,682.0,206.0,611.0,206.0,6.425000190734863,23.88475799560547,750.277099609375,30.0,3.0999999046325684,26.899999618530277,24.96666717529297,7.083333015441895,21.0
Milvus migrans,-30.239559,30.770912,1,20.545833587646484,23.600000381469727,17.299999237060547,1006.0,122.0,25.0,41.733280181884766,365.0,121.0,365.0,124.0,8.425000190734863,52.00617599487305,254.4910888671875,27.299999237060547,11.100000381469728,16.19999885559082,23.600000381469727,17.816667556762695,90.0
Milvus migrans,35.654203,136.073265,1,14.929166793823242,25.233333587646484,5.25,2262.0,272.0,126.0,25.157827377319336,723.0,449.0,555.0,723.0,7.458333492279053,25.112234115600582,821.0399780273438,30.899999618530277,1.2000000476837158,29.69999885559082,5.25,12.399999618530272,4.0
