species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Naja naja,19.926241,83.146627,1,27.033333,32.416668,21.75,1390.0,384.0,4.0,121.52796,963.0,27.0,295.0,29.0,11.2,41.947567,411.1311,40.3,13.6,26.699999,27.533333,22.233334,239.0
Naja naja,12.287715,76.682171,1,24.204166,26.9,22.466667,686.0,152.0,2.0,85.71207,308.0,16.0,202.0,65.0,10.291667,60.185192,177.66745,33.6,16.5,17.099998,23.5,24.666668,795.0
Naja naja,19.91397,83.164813,1,26.958334,32.316666,21.7,1394.0,383.0,5.0,120.64001,961.0,28.0,298.0,31.0,11.133334,41.854637,409.34445,40.2,13.6,26.6,27.45,22.183334,254.0
Naja naja,25.117286,84.303351,1,26.095833,32.7,18.133333,1011.0,296.0,3.0,133.29816,777.0,20.0,145.0,33.0,11.825,37.90064,587.58545,41.4,10.2,31.2,29.116667,25.5,93.0
Naja naja,19.906454,83.169421,1,26.8875,32.216667,21.65,1396.0,383.0,5.0,120.259895,960.0,29.0,300.0,31.0,11.075,41.95076,407.07452,40.0,13.6,26.4,27.383333,22.133333,260.0
Naja naja,19.905995,83.16938,1,26.8875,32.216667,21.65,1396.0,383.0,5.0,120.259895,960.0,29.0,300.0,31.0,11.075,41.95076,407.07452,40.0,13.6,26.4,27.383333,22.133333,260.0
Naja naja,13.128188,74.997404,1,26.679167,28.816666,25.466667,4612.0,1565.0,1.0,136.43051,3604.0,8.0,245.0,3041.0,8.841666,60.147392,137.69955,34.3,19.6,14.699999,25.6,26.816666,122.0
Naja naja,19.150766,72.859136,1,27.045834,29.316668,24.333334,2165.0,780.0,1.0,145.64838,1728.0,5.0,489.0,6.0,9.008333,53.94212,192.1583,33.8,17.1,16.699999,27.85,25.033333,32.0
Naja naja,13.128188,74.997404,1,26.679167,28.816666,25.466667,4612.0,1565.0,1.0,136.43051,3604.0,8.0,245.0,3041.0,8.841666,60.147392,137.69955,34.3,19.6,14.699999,25.6,26.816666,122.0
Naja naja,9.049158,80.915371,1,27.887499,29.616667,25.766666,1441.0,365.0,20.0,94.92756,889.0,128.0,135.0,495.0,7.408333,66.145836,162.6363,33.6,22.4,11.199999,26.55,29.383333,8.0
