species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Panthera leo,-2.64593,34.824781,1,19.679167,20.6,18.15,796.0,132.0,9.0,68.8703,356.0,41.0,320.0,41.0,12.158333,75.05144,103.05467,27.1,10.9,16.2,20.533333,18.15,1582.0
Panthera leo,-24.205889,31.287023,1,22.308332,25.5,18.183334,588.0,110.0,6.0,80.588745,310.0,21.0,310.0,21.0,13.533333,61.236805,301.35175,31.4,9.3,22.099998,25.5,18.183334,390.0
Panthera leo,-2.637562,34.715044,1,18.495832,19.3,17.116667,925.0,154.0,9.0,68.016556,410.0,45.0,358.0,45.0,11.241667,74.44812,94.471214,25.5,10.4,15.1,19.25,17.116667,1807.0
Panthera leo,-1.928538,36.14641,1,25.291666,26.5,23.516666,364.0,77.0,1.0,82.65821,185.0,6.0,148.0,6.0,12.883333,76.23274,121.090355,34.0,17.1,16.9,26.483334,23.516666,640.0
Panthera leo,-1.443841,35.007659,1,19.929167,20.783333,18.816666,1070.0,162.0,31.0,40.809235,403.0,144.0,301.0,146.0,12.558333,81.547615,78.49316,27.7,12.3,15.400001,20.433332,18.966667,1546.0
Panthera leo,-28.185588,32.125878,1,20.891666,23.8,17.733334,1046.0,151.0,37.0,43.132286,396.0,122.0,387.0,122.0,10.166666,58.76686,245.79033,28.8,11.5,17.3,23.783333,17.733334,208.0
Panthera leo,-28.112284,32.172866,1,21.375,24.383333,18.05,984.0,141.0,34.0,43.761196,379.0,111.0,363.0,111.0,10.166666,57.765152,256.6524,29.3,11.7,17.599998,24.366667,18.05,111.0
Panthera leo,-2.804845,34.830931,1,19.425,20.383333,17.766666,780.0,138.0,6.0,74.049614,358.0,28.0,333.0,28.0,12.4,74.251495,111.69153,27.0,10.3,16.7,20.333334,17.766666,1617.0
Panthera leo,-3.529893,35.686982,1,19.558332,20.933332,17.266666,757.0,188.0,1.0,92.979095,403.0,6.0,403.0,10.0,10.466666,68.85966,155.19537,27.3,12.1,15.199999,20.933332,17.783333,1475.0
Panthera leo,-3.661441,35.768794,1,21.858334,23.466667,19.366667,522.0,110.0,1.0,91.79539,279.0,6.0,279.0,6.0,10.033333,67.33781,171.76666,29.5,14.6,14.9,23.466667,19.366667,954.0
Panthera leo,-3.720434,35.713068,1,20.141666,21.65,17.733334,737.0,180.0,2.0,90.868256,386.0,11.0,386.0,16.0,9.566667,67.37089,164.46655,27.2,13.0,14.200001,21.65,18.2,1236.0
Panthera leo,-2.255872,34.97049,1,20.266666,21.083334,18.933334,823.0,132.0,19.0,56.054462,342.0,75.0,300.0,75.0,11.983334,77.31183,90.23537,27.6,12.1,15.5,21.083334,18.933334,1531.0
Panthera leo,-26.277984,20.665067,1,20.416666,27.183332,12.433333,219.0,45.0,2.0,85.50653,125.0,6.0,109.0,6.0,17.949999,52.949852,604.5446,35.6,1.7,33.899998,26.516666,12.433333,912.0
Panthera leo,-2.228149,37.387483,1,21.125,22.616667,19.133333,662.0,151.0,1.0,87.10593,292.0,10.0,256.0,17.0,10.95,69.303795,138.0629,29.5,13.7,15.8,21.583334,19.416666,1230.0
Panthera leo,-25.161211,31.89854,1,22.079166,25.683334,17.416666,609.0,112.0,6.0,77.70696,316.0,25.0,316.0,25.0,13.841667,59.662354,339.93622,31.7,8.5,23.2,25.683334,17.416666,204.0
Panthera leo,-25.364177,27.052364,1,19.616667,24.2,13.366667,642.0,116.0,5.0,79.45573,329.0,20.0,329.0,32.0,15.566667,55.794502,460.9197,31.0,3.1,27.9,24.2,13.383333,1073.0
