species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Python molurus,9.932492,76.3489,1,27.52083396911621,29.16666603088379,26.46666717529297,3117.0,683.0,10.0,91.80205535888672,1762.0,69.0,502.0,1762.0,7.241666793823242,67.05245971679688,109.13832092285156,33.20000076293945,22.399999618530277,10.80000114440918,26.46666717529297,28.01666641235352,4.0
Python molurus,27.163057,77.403096,1,25.545833587646484,33.25,15.649999618530272,677.0,256.0,2.0,152.68055725097656,577.0,17.0,244.0,22.0,14.30833339691162,40.3051643371582,713.7208862304688,42.29999923706055,6.800000190734863,35.5,29.816665649414062,23.683332443237305,184.0
Python molurus,25.354386,75.857727,1,26.424999237060547,33.86666488647461,17.850000381469727,706.0,252.0,2.0,158.43869018554688,606.0,9.0,67.0,13.0,13.083333015441896,38.93849182128906,633.5667114257812,43.09999847412109,9.5,33.599998474121094,29.01666641235352,25.233333587646484,239.0
Python molurus,25.051619,75.628234,1,25.70833396911621,32.51666641235352,18.299999237060547,890.0,328.0,2.0,156.5347442626953,773.0,9.0,83.0,11.0,12.449999809265137,40.03215408325195,558.3572998046875,41.0,9.899999618530272,31.100000381469727,27.56666755676269,25.25,505.0
Python molurus,8.761525,77.435236,1,28.40416717529297,30.100000381469727,26.333332061767575,1000.0,209.0,27.0,72.00227355957031,517.0,124.0,215.0,356.0,8.641666412353516,64.49004364013672,152.53106689453125,35.20000076293945,21.799999237060547,13.400001525878906,27.083332061767575,28.983333587646484,79.0
Python molurus,27.028612,77.468208,1,25.483333587646484,33.233333587646484,15.600000381469728,707.0,268.0,2.0,153.07164001464844,604.0,18.0,253.0,23.0,14.333333015441896,40.0372428894043,715.7333374023438,42.400001525878906,6.599999904632568,35.80000305175781,29.683332443237305,23.649999618530277,181.0
Python molurus,27.181583,77.500229,1,25.35416603088379,32.983333587646484,15.800000190734863,671.0,250.0,2.0,150.07960510253906,566.0,18.0,240.0,23.0,13.808332443237305,39.67911911010742,696.0715942382812,41.59999847412109,6.800000190734863,34.79999923706055,29.600000381469727,23.5,176.0
Python molurus,27.054495,77.441748,1,25.49166679382324,33.25,15.600000381469728,699.0,265.0,2.0,153.09442138671875,597.0,18.0,251.0,22.0,14.316667556762695,40.10271072387695,715.4395751953125,42.29999923706055,6.599999904632568,35.70000076293945,29.75,23.61666679382324,183.0
Python molurus,21.150873,70.664193,1,25.379165649414062,28.36666679382324,21.36666679382324,867.0,368.0,0.0,159.54507446289062,709.0,2.0,123.0,2.0,10.758333206176758,52.47967529296875,278.0897216796875,33.79999923706055,13.300000190734863,20.5,27.51666641235352,22.450000762939453,265.0
Python molurus,12.756738,78.384368,1,25.375,28.28333282470703,22.149999618530277,697.0,156.0,3.0,81.76984405517578,362.0,15.0,149.0,99.0,10.916666984558104,57.45613861083984,240.70448303222656,34.900001525878906,15.899999618530272,19.000001907348636,25.450000762939453,24.26666641235352,669.0
