species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Rhinoceros unicornis,27.547178,84.520623,1,24.154167,28.916666,16.8,1878.0,510.0,6.0,122.55015,1320.0,32.0,907.0,38.0,11.625,45.058136,510.3718,35.2,9.4,25.800001,28.633333,17.733334,190.0
Rhinoceros unicornis,27.409458,84.487177,1,23.324999,28.0,16.1,1724.0,454.0,6.0,119.76921,1194.0,33.0,832.0,40.0,10.916666,43.666668,502.23816,34.1,9.1,24.999998,27.733334,17.033333,331.0
Rhinoceros unicornis,27.527167,84.474429,1,23.8625,28.633333,16.516666,1841.0,495.0,6.0,121.4508,1288.0,32.0,891.0,39.0,11.291667,44.281044,510.78873,34.9,9.4,25.500002,28.333334,17.416666,233.0
Rhinoceros unicornis,27.52395,84.40482,1,23.654167,28.366667,16.333334,1829.0,480.0,6.0,120.10424,1272.0,33.0,894.0,40.0,11.041666,43.642952,508.34607,34.6,9.3,25.3,28.083334,17.25,281.0
Rhinoceros unicornis,27.557761,84.419917,1,24.112501,28.866667,16.75,1901.0,508.0,6.0,122.45131,1338.0,32.0,933.0,38.0,11.475,44.47674,512.41907,35.2,9.4,25.800001,28.6,17.633333,183.0
Rhinoceros unicornis,26.662121,93.280312,1,24.1125,28.55,17.85,2236.0,421.0,11.0,85.4912,1170.0,56.0,1170.0,56.0,9.841667,44.53243,440.38788,32.2,10.1,22.1,28.55,17.85,77.0
Rhinoceros unicornis,26.755513,93.308404,1,24.2875,28.483334,18.316668,2403.0,452.0,11.0,86.4812,1267.0,60.0,1267.0,60.0,10.108334,46.368507,418.97668,32.1,10.3,21.8,28.483334,18.316668,72.0
Rhinoceros unicornis,26.619427,93.365402,1,24.1375,28.683334,17.733334,2167.0,404.0,11.0,84.07899,1115.0,55.0,1115.0,55.0,10.158333,44.750366,450.59116,32.5,9.8,22.7,28.683334,17.733334,77.0
Rhinoceros unicornis,26.639022,93.274672,1,24.1375,28.583332,17.816666,2196.0,413.0,11.0,85.329704,1149.0,54.0,1149.0,54.0,9.908333,44.431988,443.90378,32.3,10.0,22.3,28.583332,17.816666,79.0
Rhinoceros unicornis,26.63939,93.391009,1,24.091667,28.65,17.666666,2190.0,407.0,11.0,83.82601,1123.0,57.0,1123.0,57.0,10.116667,44.371346,451.58725,32.5,9.7,22.8,28.65,17.666666,77.0
