species,latitude,longitude,presence,wc2,wc2.1,wc2.2,wc2.3,wc2.4,wc2.5,wc2.6,wc2.7,wc2.8,wc2.9,wc2.10,wc2.11,wc2.12,wc2.13,wc2.14,wc2.15,wc2.16,wc2.17,wc2.18,wc2.19
Varanus bengalensis,7.965346,81.004255,1,27.625,29.0,25.71666717529297,1676.0,364.0,9.0,73.7397232055664,868.0,144.0,192.0,650.0,8.300000190734863,70.33898162841797,137.84873962402344,33.400001525878906,21.600000381469727,11.80000114440918,26.566665649414062,28.71666717529297,70.0
Varanus bengalensis,6.468995,80.88198,1,26.96666717529297,27.600000381469727,26.08333396911621,1643.0,302.0,43.0,62.96930694580078,738.0,132.0,402.0,574.0,6.816666603088379,74.9084243774414,62.2799186706543,31.200000762939453,22.100000381469727,9.100000381469728,26.38333320617676,27.38333320617676,103.0
Varanus bengalensis,9.888562,76.310913,1,27.450000762939453,29.049999237060547,26.399999618530277,3120.0,679.0,11.0,91.19783782958984,1752.0,71.0,508.0,1752.0,6.633333206176758,65.67657470703125,105.93736267089844,32.79999923706055,22.700000762939453,10.099998474121094,26.399999618530277,27.88333320617676,5.0
Varanus bengalensis,9.889273,76.311378,1,27.450000762939453,29.049999237060547,26.399999618530277,3120.0,679.0,11.0,91.19783782958984,1752.0,71.0,508.0,1752.0,6.633333206176758,65.67657470703125,105.93736267089844,32.79999923706055,22.700000762939453,10.099998474121094,26.399999618530277,27.88333320617676,5.0
Varanus bengalensis,15.264241,73.94541,1,27.149999618530277,28.899999618530277,25.983333587646484,2906.0,926.0,0.0,142.74371337890625,2369.0,1.0,110.0,11.0,8.399999618530273,59.5744743347168,126.74237060546876,33.599998474121094,19.5,14.099998474121094,26.683334350585938,26.450000762939453,12.0
Varanus bengalensis,6.292434,81.300659,1,27.39166641235352,28.183334350585938,26.41666603088379,966.0,209.0,16.0,71.74695587158203,473.0,55.0,184.0,317.0,6.550000190734863,74.43180847167969,70.3508529663086,31.700000762939453,22.899999618530277,8.80000114440918,26.916667938232425,27.86666679382324,16.0
Varanus bengalensis,6.292003,81.297092,1,27.337499618530277,28.16666603088379,26.36666679382324,973.0,210.0,17.0,71.4053726196289,476.0,57.0,186.0,316.0,6.508333206176758,73.95832061767578,71.64067077636719,31.700000762939453,22.899999618530277,8.80000114440918,26.83333396911621,27.799999237060547,23.0
Varanus bengalensis,6.261242,81.379799,1,27.47916603088379,28.316665649414062,26.41666603088379,935.0,201.0,14.0,72.4701156616211,462.0,52.0,170.0,331.0,6.708333492279053,75.37451934814453,80.12654876708984,31.700000762939453,22.799999237060547,8.900001525878906,26.450000762939453,28.16666603088379,23.0
Varanus bengalensis,27.164817,77.524055,1,25.34166717529297,33.01666641235352,15.699999809265137,675.0,251.0,2.0,149.88954162597656,569.0,18.0,241.0,23.0,13.899999618530272,39.71428680419922,702.00634765625,41.70000076293945,6.699999809265137,35.0,29.600000381469727,23.483333587646484,175.0
Varanus bengalensis,7.875953,80.655184,1,27.04166603088379,28.25,25.33333396911621,1577.0,289.0,14.0,71.16344451904297,808.0,94.0,274.0,522.0,8.566666603088379,69.647705078125,122.37857055664062,33.0,20.700000762939453,12.299999237060549,26.03333282470703,27.86666679382324,158.0
